EFTA,Snow_depth,Snow_temp,label
0.590476652,2.0507813,-1.084829712,0
0.771161931,-7.35E-22,0.009606934,0
0.213298243,1.7578125,0.01,0
1.122834954,7.1289063,-8.06,1
6.227551866,10.8398438,-7.265371704,1
6.535322266,12.890625,-6.310110474,1
4.390977865,15.0390625,-2.561056519,1
3.597748264,20.6054688,0.009637451,1
5.136666667,23.7304688,-10.41557922,1
3.793666667,30.1757813,-19.09850159,1
4.888666667,42.8710938,-26.96442261,1
6.222322266,44.921875,-12.08588257,1
4.083785905,44.8242188,-13.31262817,1
4.193551866,33.6914063,-4.669622803,1
3.197896267,0.09765625,0.009698486,0
7.125240668,-7.35E-22,0.010949707,0
4.269551866,0.09765625,0.009637451,0
0.286437066,-7.35E-22,0.009439087,0
5.683781467,-7.35E-22,0.008996582,0
-0.206295896,-7.35E-22,0.011010742,0
0.198708886,-7.35E-22,0.00965271,0
-0.063744114,-7.35E-22,0.010369873,0
0.089046208,10.3515625,0.010339355,0
0.200168751,1.0742188,-3.271871948,0
-0.032113613,4.296875,0.009866333,1
1.159387436,11.0351563,-5.044134521,1
6.025,13.0859375,-17.41661682,1
4.542738661,10.9375,-9.95,1
4.763477321,15.7226563,-18.65491333,1
5.445107991,25.0976563,-8.410391235,1
3.395496638,22.265625,-12.53244629,1
7.488184665,23.828125,-10.06131592,1
0.635107991,14.3554688,-0.68,1
2.162553995,5.46875,-4.538031006,0
0.058299887,2.0507813,-0.031500244,0
0.509572677,-7.35E-22,0.01053772,0
0.355054861,0.4882813,0.01,0
0.274609851,-7.35E-22,0.010675049,0
0.237722944,-7.35E-22,0.009866333,0
0.00797039,-7.35E-22,0.00965271,0
0.643714685,-7.35E-22,0.010095215,0
0.546783044,3.4179688,-2.67,0
0.538154088,-7.35E-22,0.010507202,0
0.876556759,1.2695313,-1.065679932,1
5.11380721,1.5625,-4.289099121,1
5.645047717,2.2460938,-1.408392334,0
6.170047717,10.546875,-17.84781494,1
3.310086659,11.1328125,-1.344381714,1
4.527413502,9.4726563,-3.9,1
2.624720874,12.6953125,-11.94264832,1
-1.963240184,1.3671875,0.009301758,1
2.254740345,0.2929688,0.009973145,1
0.546836162,0.1953125,0.010385132,0
1.055208344,-7.35E-22,0.009927368,0
0.7006338,0.78125,0.011636353,0
0.950250107,-7.35E-22,0.009133911,0
0.803371105,-7.35E-22,0.010324097,0
0.182385086,-7.35E-22,0.010491943,0
-0.256239693,-7.35E-22,0.0090271,0
0.114576999,-7.35E-22,0.010949707,0
0.619057979,-7.35E-22,0.010095215,0
0.584236144,-7.35E-22,0.009561157,0
1.175922695,0.09765625,0.010552979,0
4.808440979,15.7226563,-2.495031738,0
6.789712276,17.1875,-10.7526001,0
9.112712276,16.5039063,-16.76849976,1
5.942797463,16.3085938,-15.48926392,1
7.218385015,65.3320313,-21.97554626,1
7.751791961,12.6953125,-0.64949646,1
6.618094321,7.421875,0.010140991,1
6.077385015,24.21875,-5.476141357,0
5.102366137,30.5664063,-3.247671509,1
3.748656312,22.265625,-1.057318115,0
2.325229969,8.6914063,0.011361694,0
4.006706773,-7.35E-22,0.009240723,0
0.07204386,-7.35E-22,0.009393311,0
1.502299828,0.78125,0.010934448,0
0.317379403,-7.35E-22,0.010369873,0
0.68390277,-7.35E-22,0.00977478,0
0.699048992,-7.35E-22,0.010186768,0
-0.196131305,-7.35E-22,0.008615112,0
1.012716685,-7.35E-22,0.010842896,0
0.066982467,-7.35E-22,0.010018921,0
0.338543858,-7.35E-22,0.009881592,0
0.02592888,-7.35E-22,0.009805298,0
0.643013072,-7.35E-22,0.010339355,0
0.351314036,-7.35E-22,0.009835815,0
-0.087653152,-7.35E-22,0.009713745,0
1.021616162,-7.35E-22,0.009301758,0
3.4919947,-7.35E-22,0.010339355,0
7.824026735,0.4882813,-1.511938477,1
6.536739047,3.2226563,0.010232544,0
5.174042633,6.3476563,-1.642523193,0
4.774509908,21.3867188,-10.65198364,1
5.676890268,24.3164063,-3.4887146,1
7.466250115,46.1914063,-19.59883728,1
6.313711155,47.1679688,-17.82214966,1
7.655135306,56.8359375,-29.73621216,1
8.404841386,49.7070313,-0.957556152,1
5.845314896,39.9414063,-4.669714355,1
5.896336553,50.0976563,-14.79826965,1
7.76024388,52.34375,-4.887411499,1
9.556183476,44.2382813,0.010202026,1
7.254048868,32.1289063,-9.390463257,1
7.198113649,32.03125,-13.6,1
7.719531565,21.09375,-6.702703857,1
2.264390958,1.7578125,0.008920288,1
7.352927824,-7.35E-22,0.008920288,0
0.727871335,-7.35E-22,0.009591675,0
2.008327628,2.2460938,0.009698486,0
1.842669025,-7.35E-22,0.009942627,0
0.839008949,-7.35E-22,0.00953064,0
1.553111829,-7.35E-22,0.009561157,0
1.815750587,-7.35E-22,0.009301758,0
2.363616109,-7.35E-22,0.010705566,0
1.585583313,-7.35E-22,0.011254883,0
1.322925025,-7.35E-22,0.01116333,0
1.642113825,-7.35E-22,0.010018921,0
0.773533028,-7.35E-22,0.011499023,0
0.971374978,-7.35E-22,0.01,0
0.510019884,-7.35E-22,0.01,0
0.872164189,-7.35E-22,0.010217285,0
